id,sk,name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff
6412,260,The Legislative Assembly of New South Wales,NSW,STATE,AS,93,4 years,https://www.parliament.nsw.gov.au/members,2023-03-25 00:00:00+00,All,,False,False
5575,589,Jacksonville City Council,FL,LOCAL,US,19,,http://www.coj.net/city-council/city-council-members,2023-03-21 00:00:00+00,,,False,False
5576,31,Jacksonville Mayor,FL,LOCAL,US,1,,http://www.coj.net/welcome.aspx,2023-03-21 00:00:00+00,,,False,False
5620,2863,West Palm Beach Mayor,FL,LOCAL,US,1,4 years,https://www.wpb.org/home,2023-03-14 00:00:00+00,Mayor and City Commission Districts 2 & 4,,False,False
293,293,Tampa Mayor,FL,LOCAL,US,1,,http://www.tampagov.net/dept_City_Council/,2023-03-07 00:00:00+00,,https://www.votehillsborough.org/About-Elections-Voters/Election-Results,False,False
3358,3310,Clovis City Council,CA,LOCAL,US,5,4 years,http://www.ci.clovis.ca.us/Government/City-Council,2023-03-07 00:00:00+00,3 seats,,False,False
5991,746,Burlington Mayor,VT,LOCAL,US,1,3 years,https://www.burlingtonvt.gov/Mayor,2023-03-07 00:00:00+00,"Mayor, plus East, North, Central, and South districts",https://www.burlingtonvt.gov/CT/Elections/Results,False,False
6363,363,Tampa City Council,FL,LOCAL,US,7,4 years,https://www.tampagov.net/city-council,2023-03-07 00:00:00+00,,https://www.votehillsborough.org/About-Elections-Voters/Election-Results,False,False
5179,5176,Red Deer Mayor,AB,LOCAL,CA,1,4 years,http://www.reddeer.ca/city-government/mayor-and-city-councillors/city-council/city-council-profiles/mayor-tara-veer/,2023-03-01 00:00:00+00,,,False,False
5225,5177,Red Deer City Council,AB,LOCAL,CA,8,4 years,http://www.reddeer.ca/city-government/mayor-and-city-councillors/city-council/city-council-profiles/,2023-03-01 00:00:00+00,,,False,False
2696,602,Mayor of Chicago,IL,LOCAL,US,1,,http://mayor.cityofchicago.org/,2023-02-28 00:00:00+00,,,False,False
5431,872,Chicago City Council,IL,LOCAL,US,50,4 years,https://www.chicago.gov/city/en/about/council.html,2023-02-28 00:00:00+00,all,,False,False
4328,547,Tasmania Legislative Council,TAS,STATE,AS,15,6 years,http://www.parliament.tas.gov.au/,2022-12-01 00:00:00+00,"Under section 23 of the Constitution Act 1934, the House of Assembly expires four years from the return of the writs for its election, which took place on 3 March 2018. The Governor must issue writs of election between five and ten days thereafter. Nominations must close on a date seven to 21 days after the issuance of the writ, and polling day must be a Saturday between 15 and 30 days after nominations close, meaning it must take place before the end of 2022.",https://en.wikipedia.org/wiki/Next_Tasmanian_state_election,False,False
6327,819,Tasmania House of Assembly,TAS,STATE,AS,25,4 years,http://www.parliament.tas.gov.au/,2022-12-01 00:00:00+00,"Under section 23 of the Constitution Act 1934, the House of Assembly expires four years from the return of the writs for its election, which took place on 3 March 2018. The Governor must issue writs of election between five and ten days thereafter. Nominations must close on a date seven to 21 days after the issuance of the writ, and polling day must be a Saturday between 15 and 30 days after nominations close, meaning it must take place before the end of 2022.",https://en.wikipedia.org/wiki/Next_Tasmanian_state_election,False,False
2704,527,Victorian Legislative Council,VIC,STATE,AS,40,4 years,http://www.parliament.vic.gov.au/,2022-11-26 00:00:00+00,All,,False,False
4961,822,Victorian Legislative Assembly,VIC,STATE,AS,88,4 years,http://www.parliament.vic.gov.au/,2022-11-26 00:00:00+00,All,,False,False
5353,967,Ottawa Mayor,ON,LOCAL,CA,1,,https://ottawa.ca/en/city-hall/mayor-and-city-councillors,2022-11-14 00:00:00+00,All,,False,False
5354,315,Ottawa City Council,ON,LOCAL,CA,23,4 years,https://ottawa.ca/en/city-hall/mayor-and-city-councillors,2022-11-14 00:00:00+00,All,,False,False
1468,703,Michigan State Senate,MI,STATE,US,38,4 years,http://senate.michigan.gov/,2022-11-08 00:00:00+00,All districts.,,False,False
2461,624,Maryland House of Delegates,MD,STATE,US,141,4 years,http://www.msa.md.gov/msa/mdmanual/06hse/html/hse.html,2022-11-08 00:00:00+00,,,False,False
2562,2562,Florida Lieutenant Governor,FL,STATE,US,1,,,2022-11-08 00:00:00+00,,https://dos.myflorida.com/elections/,False,False
